Function,Round,MAE,Distance_M1,Distance_M2,Distance_M3,Distance_M4
Beale,0,0.0,1.3453624047073711,,,
Beale,1,950732.4516906728,1.0816713918746304,,,
Beale,2,371118.1698164771,1.2671089140243628,,,
Beale,3,61330.16965627173,1.2671089140243628,,,
Beale,4,41113.02197685821,1.7688255990911033,,,
Beale,5,62651.6603508688,1.5495692949978068,,,
Beale,6,42177.17168075976,1.2671089140243628,,,
Beale,7,44017.61925978285,1.2671089140243628,,,
Beale,8,24298.41864170779,1.5041608956491324,,,
Himmelblau,0,0.0,2.424953607803663,1.2858716887776942,2.9564650982042733,2.6857519477606266
Himmelblau,1,679.7521820350813,2.891561861693434,1.7688451034502708,0.625307924146176,1.9397798844198795
Himmelblau,2,0.004409371495469027,0.6506919393998977,0.37797486688932136,0.2818527984604729,0.3424047312757228
Himmelblau,3,0.0045038422603992856,0.27060118255469623,0.14042791745233607,0.06876772498781678,0.16589454481688048
Himmelblau,4,1.3120943772820004,0.06139218191268334,0.03862641583165589,0.032249030993194226,0.06400000000000006
Himmelblau,5,0.0005731025353332103,0.019313207915827815,0.005999999999999783,0.016999999999999904,0.03228002478313784
Himmelblau,6,0.000346396319999925,0.0022360679774995436,0.004123105625617745,0.0028284271247461927,0.0040000000000000036
Rastrigin,0,0.0,0.7920286999604245,,,
Rastrigin,1,23.462305398734586,0.34584534115699755,,,
Rastrigin,2,31.325795716664253,2.7085512732824535,,,
Rastrigin,3,9.035159947799555,4.4257469426075415,,,
Rastrigin,4,4.448663781957076,1.7693942466279242,,,
Rastrigin,5,3.4104068942007597,1.913142179766052,,,
Rastrigin,6,2.7629315707854913,1.8324333548590521,,,
Rastrigin,7,3.9004220989281975,1.7900393850415695,,,
Rosenbrock,0,0.0,0.6053098380168623,,,
Rosenbrock,1,270.43771867928,0.37735924528226406,,,
Rosenbrock,2,0.0034088480933337564,0.40065571255131255,,,
Rosenbrock,3,0.0007214499466666604,0.04940647730814254,,,
Rosenbrock,4,0.0005981964000000199,0.0050000000000000044,,,
Rosenbrock,5,0.0002761897466666533,0.009433981132056552,,,
